rcp,model,longitude,latitude,unit,site,transition,season,pr
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1961-1962,ds,297.4516106
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1961-1962,gs,358.5852543
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1962-1963,ds,319.8387054
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1962-1963,gs,421.4884857
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1963-1964,ds,403.1935452
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1963-1964,gs,309.2714135
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1964-1965,ds,227.6451624
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1964-1965,gs,255.1543786
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1965-1966,ds,147.0645153
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1965-1966,gs,290.6520756
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1966-1967,ds,165.0645167
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1966-1967,gs,217.3617451
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1967-1968,ds,94.16128982
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1967-1968,gs,331.6651853
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1968-1969,ds,158.7419347
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1968-1969,gs,404.9354851
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1969-1970,ds,129.8709704
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1969-1970,gs,462.9354876
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1970-1971,ds,208.2258114
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1970-1971,gs,267.2096838
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1971-1972,ds,58.38709573
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1971-1972,gs,333.59844
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1972-1973,ds,414.7096688
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1972-1973,gs,405.3571333
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1973-1974,ds,300.0967687
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1973-1974,gs,334.0875643
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1974-1975,ds,223.2903219
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1974-1975,gs,228.6520742
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1975-1976,ds,93.70967896
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1975-1976,gs,209.908782
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1976-1977,ds,65.00000076
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1976-1977,gs,454.7603725
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1977-1978,ds,206.1935482
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1977-1978,gs,302.8778822
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1978-1979,ds,84.83871054
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1978-1979,gs,247.2350272
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1979-1980,ds,190.2903209
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1979-1980,gs,197.2847586
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1980-1981,ds,162.5161297
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1980-1981,gs,195.1267334
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1981-1982,ds,254.1612889
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1981-1982,gs,219.9239675
historical,ACCESS1-3,-101.2,30.71,kg m-2 s-1,ozona,1982-1983,ds,211.2580646
