"location","rcp","model","longitude","latitude","unit","site","transition","season","tas"
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1956-1957","ds",26.7612205505372
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1956-1957","gs",13.371032333374
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1957-1958","ds",25.4503761291504
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1957-1958","gs",14.1459918975831
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1958-1959","ds",25.107064819336
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1958-1959","gs",13.9362407684326
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1959-1960","ds",26.2063156127932
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1959-1960","gs",14.5898014068603
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1960-1961","ds",25.8702484130857
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1960-1961","gs",14.0480113983155
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1961-1962","ds",25.8399749755859
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1961-1962","gs",14.5207954406737
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1962-1963","ds",25.3770500183105
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1962-1963","gs",13.2461238861085
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1963-1964","ds",23.8769432067871
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1963-1964","gs",13.8539329528808
1,"historical","ACCESS1-3",-101.2,30.71,"Degree Kelvin","ozona","1964-1965","ds",25.809629058838
