"transition","site","Longitude","Latitude","long.scaled","long.center","season","pr"
"1986-1987","woodward",-99.3978,36.4331,-0.422253661474805,-0.959436642857142,"ds",365.55
"1986-1987","woodward",-99.3978,36.4331,-0.422253661474805,-0.959436642857142,"gs",618.68
"1987-1988","buffalolake",-101.8453,35.1992,-1.49941268406746,-3.40693664285713,"ds",306.7
"1987-1988","buffalolake",-101.8453,35.1992,-1.49941268406746,-3.40693664285713,"gs",305.43
"1987-1988","elreno",-97.9575,35.5303,0.211630767632538,0.480863357142866,"ds",410.76
"1987-1988","elreno",-97.9575,35.5303,0.211630767632538,0.480863357142866,"gs",489.54
"1987-1988","Katy",-95.920129,29.920887,1.10828962565854,2.51823435714286,"ds",480.66
"1987-1988","Katy",-95.920129,29.920887,1.10828962565854,2.51823435714286,"gs",549.1
"1987-1988","llano",-99.7714,30.4897,-0.586677200122656,-1.33303664285714,"ds",394.22
"1987-1988","llano",-99.7714,30.4897,-0.586677200122656,-1.33303664285714,"gs",185.24
"1987-1988","llela",-96.9644,33.0692,0.648699868893731,1.47396335714286,"ds",267.46
"1987-1988","llela",-96.9644,33.0692,0.648699868893731,1.47396335714286,"gs",409.87
"1987-1988","lostP",-97.469,30.179,0.426622466319573,0.969363357142868,"ds",442.63
"1987-1988","lostP",-97.469,30.179,0.426622466319573,0.969363357142868,"gs",383.29
"1987-1988","lubbock",-101.8833,33.5667,-1.51613670566441,-3.44493664285714,"ds",280.25
"1987-1988","lubbock",-101.8833,33.5667,-1.51613670566441,-3.44493664285714,"gs",184.75
"1987-1988","ninnescah",-97.672833,37.538006,0.33691437436773,0.765530357142865,"ds",390.58
"1987-1988","ninnescah",-97.672833,37.538006,0.33691437436773,0.765530357142865,"gs",359.02
"1987-1988","ozona",-101.2,30.71,-1.21541239100146,-2.76163664285714,"ds",196.88
"1987-1988","ozona",-101.2,30.71,-1.21541239100146,-2.76163664285714,"gs",118.28
"1987-1988","psu",-94.6997,37.4103,1.64540754548846,3.73866335714285,"ds",431.99
"1987-1988","psu",-94.6997,37.4103,1.64540754548846,3.73866335714285,"gs",645.97
"1987-1988","shsu",-95.551,30.7233,1.27074545113376,2.88736335714286,"ds",396.24
"1987-1988","shsu",-95.551,30.7233,1.27074545113376,2.88736335714286,"gs",642.91
"1987-1988","vernon",-99.2906,34.1511,-0.375074316338159,-0.852236642857136,"ds",284.1
"1987-1988","vernon",-99.2906,34.1511,-0.375074316338159,-0.852236642857136,"gs",210.79
"1987-1988","wf",-98.514125,33.913161,-0.0333431408253389,-0.0757616428571453,"ds",267.12
"1987-1988","wf",-98.514125,33.913161,-0.0333431408253389,-0.0757616428571453,"gs",378.78
"1987-1988","woodward",-99.3978,36.4331,-0.422253661474805,-0.959436642857142,"ds",312.91
"1987-1988","woodward",-99.3978,36.4331,-0.422253661474805,-0.959436642857142,"gs",286.21
"1988-1989","buffalolake",-101.8453,35.1992,-1.49941268406746,-3.40693664285713,"ds",322.52
"1988-1989","buffalolake",-101.8453,35.1992,-1.49941268406746,-3.40693664285713,"gs",140.22
"1988-1989","elreno",-97.9575,35.5303,0.211630767632538,0.480863357142866,"ds",301.83
"1988-1989","elreno",-97.9575,35.5303,0.211630767632538,0.480863357142866,"gs",391.47
"1988-1989","Katy",-95.920129,29.920887,1.10828962565854,2.51823435714286,"ds",185.46
"1988-1989","Katy",-95.920129,29.920887,1.10828962565854,2.51823435714286,"gs",530.8
"1988-1989","llano",-99.7714,30.4897,-0.586677200122656,-1.33303664285714,"ds",222.22
"1988-1989","llano",-99.7714,30.4897,-0.586677200122656,-1.33303664285714,"gs",277.58
"1988-1989","llela",-96.9644,33.0692,0.648699868893731,1.47396335714286,"ds",332.88
"1988-1989","llela",-96.9644,33.0692,0.648699868893731,1.47396335714286,"gs",705.46
"1988-1989","lostP",-97.469,30.179,0.426622466319573,0.969363357142868,"ds",188.54
"1988-1989","lostP",-97.469,30.179,0.426622466319573,0.969363357142868,"gs",479.78
"1988-1989","lubbock",-101.8833,33.5667,-1.51613670566441,-3.44493664285714,"ds",242.55
"1988-1989","lubbock",-101.8833,33.5667,-1.51613670566441,-3.44493664285714,"gs",111.75
"1988-1989","ninnescah",-97.672833,37.538006,0.33691437436773,0.765530357142865,"ds",208.04
"1988-1989","ninnescah",-97.672833,37.538006,0.33691437436773,0.765530357142865,"gs",293.14
"1988-1989","ozona",-101.2,30.71,-1.21541239100146,-2.76163664285714,"ds",306.65
"1988-1989","ozona",-101.2,30.71,-1.21541239100146,-2.76163664285714,"gs",189.94
"1988-1989","psu",-94.6997,37.4103,1.64540754548846,3.73866335714285,"ds",512.74
"1988-1989","psu",-94.6997,37.4103,1.64540754548846,3.73866335714285,"gs",532.04
"1988-1989","shsu",-95.551,30.7233,1.27074545113376,2.88736335714286,"ds",247.8
"1988-1989","shsu",-95.551,30.7233,1.27074545113376,2.88736335714286,"gs",785.54
